ID P.F,NOMBRE FANTASIA,PROV,DEP,SEGMENTO,SUBSEGMENTACION,STOCK ROLLO,STOCK RESMA,STOCK SUBE,STOCK PRISMA
5449595,PINTURERIA CHERA,FORMOSA,1,4.C,4,"4,839","0,000","0,000","2,000"
6749041,PINTURERIA EL PINTOR,BUENOS AIRES,1,4.C,4,"-0,242","0,000","0,000","0,000"
6749091,PINTURERIA ROCA I,TUCUMAN,1,2.A,3,"4,743","0,000","0,000","2,249"
7549632,PIOVANO COMUNICACIONES,CORDOBA,1,3.B,4,"0,895","0,000","0,000","5,849"
6349064,PIOVANO COMUNICACIONES SUNCHALES,SANTA FE,1,2.A,3,"2,582","0,422","0,000","1,277"
10049075,PIOVANO TECH,CORDOBA,1,N,2,"1,316","0,500","0,000","0,000"
13049644,PIPA SOLO PEI,SANTA CRUZ,1,5.D,6,"0,000","0,000","0,000","0,000"
10849075,PIRANE MOTOS,FORMOSA,1,4.C,4,"0,644","0,000","0,000","2,834"
12949031,PIRIKIKIMAX,CORDOBA,1,4.C,4,"3,127","-0,179","0,000","15,619"
11949994,PISANI,BUENOS AIRES,1,3.B,4,"4,670","2,000","0,000","4,000"
6349454,PIXEL,NEUQUEN,1,1.VIP,2,"5,174","0,188","0,000","6,990"
13049774,PIXEL POINT,TIERRA DEL FUEGO,1,5.D,6,"-0,119","-0,206","0,000","-0,104"
12849937,PK2 DE LAVALLE,SANTIAGO DEL ESTERO,1,2.A,3,"2,451","0,000","0,000","2,870"
12849938,PK2 DE SALTA,SANTIAGO DEL ESTERO,1,3.B,4,"2,380","0,000","0,000","4,000"
12849446,PK2 DEL CENTRO,SANTIAGO DEL ESTERO,1,2.A,3,"1,968","0,232","0,000","2,000"
12849071,PK2 DEL OESTE,SANTIAGO DEL ESTERO,1,2.A,3,"1,352","1,000","0,000","1,864"
5449560,PK2 HOGAR,SANTIAGO DEL ESTERO,1,1.VIP,2,"2,339","-0,182","0,000","1,813"
6149650,PLAN B,BUENOS AIRES,1,4.C,4,"5,224","0,000","0,000","2,957"
13049062,PLAN B,CORDOBA,1,N,2,"1,605","0,000","0,000","0,000"
12949562,PLASTI-CENTRO,CORDOBA,1,5.D,6,"-0,015","0,000","0,000","-0,032"
